Restaurant_Info_ID,Restaurant_Name,Rating,Review_Count,Price,Restaurant_Address,Restaurant_City,Zip_Code,Latitude,Longitude,Categories,Inspection_Info_ID,Inspection_date,Score,Grade,Population_Density_per_sq_mi,Median_Household_Income,Median_Home_Value,Employment_Rate,Total_Population,Total_Employer_Establishments
8,El Senor Taco,3.6,103,$,1517 E Florence Ave,Los Angeles,90001,33.97499,-118.24696,Mexican,1,2025-02-12,97.0,A,17030.0,52806,249600.0,90.14,58245,613
12,Mi Pueblo Salvadorian Restaurant #1,4.5,33,$,1341 E Florence Ave,Los Angeles,90001,33.974984,-118.250638,"Mexican, Breakfast & Brunch, Salvadoran",2,2024-10-18,92.0,A,17030.0,52806,249600.0,90.14,58245,613
13,Bangin Buns,3.3,110,$$,1457 E Florence Ave,Los Angeles,90001,33.975383283185664,-118.24800445276117,Fast Food,3,2025-03-06,93.0,A,17030.0,52806,249600.0,90.14,58245,613
20,Taqueria Tijuana,4.4,156,$,241 W Florence Ave,Los Angeles,90003,33.974841,-118.277428,Mexican,5,2024-06-01,96.0,A,20071.0,47733,231700.0,90.6,75190,440
21,The Lobos Truck,4.4,1246,$,1542 Fishburn Ave,Los Angeles,90063,34.032416734202556,-118.23038078342852,"Food Trucks, American, Comfort Food",6,2025-03-26,92.0,A,15291.0,57026,273400.0,92.51,52954,370
27,Boys Burgers,4.0,99,$,1774 E Florence Ave,Los Angeles,90001,33.97441,-118.24087,Burgers,7,2025-03-24,95.0,A,17030.0,52806,249600.0,90.14,58245,613
36,La Zona Sushi,4.5,83,$$,1913 E Gage Ave,Los Angeles,90001,33.9821249031109,-118.238637149334,Sushi Bars,9,2024-11-01,94.0,A,17030.0,52806,249600.0,90.14,58245,613
38,L.A. Crazy Crab,4.4,113,$$,1415 E Gage Ave,Los Angeles,90001,33.98289815753016,-118.24994353313066,"Seafood, Cajun/Creole",10,2024-11-20,96.0,A,17030.0,52806,249600.0,90.14,58245,613
40,Granny's Kitchen,3.8,471,$$,5440 S Central Ave,Los Angeles,90011,33.9930975470943,-118.256304330019,"Soul Food, Southern",11,2024-10-16,93.0,A,23854.0,47126,269300.0,90.09,109511,812
44,Delicious at The Dunbar,4.0,239,$$,4229 S Central Ave,Los Angeles,90011,34.00668,-118.25665,"Southern, Breakfast & Brunch, Cocktail Bars",13,2024-06-28,96.0,A,23854.0,47126,269300.0,90.09,109511,812
52,Mariscos Mi Lindo Nayarit,3.3,304,$$,1020 E Florence Ave,Los Angeles,90001,33.97452,-118.25672,"Mexican, Seafood",15,2024-06-12,93.0,A,17030.0,52806,249600.0,90.14,58245,613
56,Novacane Sports Bar & Grill,4.3,376,$$,5812 S Santa Fe Ave,Los Angeles,90058,33.989779163633344,-118.22994456257004,"Sports Bars, Mexican, Cocktail Bars",16,2025-04-03,91.0,A,648.0,33146,191100.0,94.25,3659,1467
58,FUEGOS LA,5.0,23,$$,3957 S Western Ave,Los Angeles,90062,34.012625,-118.309256,"Empanadas, Food Delivery Services, Argentine",19,2025-02-26,97.0,A,17044.0,56500,278700.0,93.16,34277,202
59,La Carreta,4.2,227,$,1471 E Vernon Ave,Los Angeles,90011,34.0039974,-118.2479378,Mexican,20,2024-10-12,93.0,A,23854.0,47126,269300.0,90.09,109511,812
61,Casa Noodle Teriyaki,4.3,162,$,5930 S Main St,Los Angeles,90003,33.98639211723159,-118.27355301383366,"Japanese, Noodles",22,2025-03-04,90.0,A,20071.0,47733,231700.0,90.6,75190,440
64,El Tacorin,4.8,86,$,8215 S Broadway,Los Angeles,90003,33.9645896015065,-118.2785510077818,Mexican,24,2024-10-07,90.0,A,20071.0,47733,231700.0,90.6,75190,440
70,The Burger Palace,4.2,80,$,100 E Manchester Ave,Los Angeles,90003,33.9599551,-118.2737099,Burgers,27,2025-02-24,97.0,A,20071.0,47733,231700.0,90.6,75190,440
71,Roscoe's House of Chicken & Waffles - South LA,3.5,736,$$,106 W Manchester Ave,Los Angeles,90003,33.96020111478584,-118.2733921693115,"Soul Food, Waffles, Chicken Shop",29,2024-07-02,96.0,A,20071.0,47733,231700.0,90.6,75190,440
73,Served 2 Enjoy,4.8,77,$$,4624 S Avalon Blvd,Los Angeles,90011,34.0008009,-118.265021,"Mexican, Salad, Breakfast & Brunch",30,2024-11-01,99.0,A,23854.0,47126,269300.0,90.09,109511,812
76,El Taco Mexicano No 2,4.3,105,$,1300 E Vernon Ave,Los Angeles,90011,34.00369,-118.25186,Mexican,33,2024-09-05,91.0,A,23854.0,47126,269300.0,90.09,109511,812
78,La Michoacana Ice Cream,2.0,11,$$,1500 E Florence Ave,Los Angeles,90001,33.974533,-118.247428,"Ice Cream & Frozen Yogurt, Creperies, Sandwiches",36,2024-09-17,91.0,A,17030.0,52806,249600.0,90.14,58245,613
80,Chicharroland,4.7,138,$$,4714 S Main St,Los Angeles,90037,34.0005895363191,-118.273852172009,Mexican,38,2025-01-21,92.0,A,22062.0,45128,271400.0,91.89,68885,457
90,Ying Hana Teppanyaki,4.7,46,$$,4400 S Broadway,Los Angeles,90037,34.003564269140185,-118.27770527548424,"Teppanyaki, Asian Fusion",49,2025-02-06,91.0,A,22062.0,45128,271400.0,91.89,68885,457
120,Jim Dandy Fried Chicken,4.0,345,$,11328 S Vermont Ave,Los Angeles,90044,33.93159,-118.29123,"Southern, Chicken Shop",56,2024-08-08,90.0,A,18493.0,43388,269400.0,90.15,100225,392
