Zip_Code_ID,Zip_Code,Is_City_Zip,Created_At,Is_Processed
1,90001,1,2025-04-13 14:10:08,1
2,90002,1,2025-04-13 14:10:08,1
3,90003,1,2025-04-13 14:10:08,1
4,90004,1,2025-04-13 14:10:08,1
5,90005,1,2025-04-13 14:10:08,1
6,90006,1,2025-04-13 14:10:08,1
7,90007,1,2025-04-13 14:10:08,1
8,90008,1,2025-04-13 14:10:08,1
9,90009,0,2025-04-13 14:10:08,1
10,90010,1,2025-04-13 14:10:08,1
11,90011,1,2025-04-13 14:10:08,1
12,90012,1,2025-04-13 14:10:08,1
13,90013,1,2025-04-13 14:10:08,1
14,90014,1,2025-04-13 14:10:08,1
15,90015,1,2025-04-13 14:10:08,1
16,90016,1,2025-04-13 14:10:08,1
17,90017,1,2025-04-13 14:10:08,1
18,90018,1,2025-04-13 14:10:08,1
19,90019,1,2025-04-13 14:10:08,1
20,90020,1,2025-04-13 14:10:08,1
21,90021,1,2025-04-13 14:10:08,1
22,90022,0,2025-04-13 14:10:08,1
23,90023,1,2025-04-13 14:10:08,1
24,90024,1,2025-04-13 14:10:08,1
25,90025,1,2025-04-13 14:10:08,1
26,90026,1,2025-04-13 14:10:08,1
27,90027,1,2025-04-13 14:10:08,1
28,90028,1,2025-04-13 14:10:08,1
29,90029,1,2025-04-13 14:10:08,1
30,90030,0,2025-04-13 14:10:08,1
31,90031,1,2025-04-13 14:10:08,1
32,90032,1,2025-04-13 14:10:08,1
33,90033,1,2025-04-13 14:10:08,1
34,90034,1,2025-04-13 14:10:08,1
35,90035,1,2025-04-13 14:10:08,1
36,90036,1,2025-04-13 14:10:08,1
37,90037,1,2025-04-13 14:10:08,1
38,90038,1,2025-04-13 14:10:08,1
39,90039,1,2025-04-13 14:10:08,1
40,90040,0,2025-04-13 14:10:08,1
41,90041,1,2025-04-13 14:10:08,1
42,90042,1,2025-04-13 14:10:08,1
43,90043,1,2025-04-13 14:10:08,1
44,90044,1,2025-04-13 14:10:08,1
45,90045,1,2025-04-13 14:10:08,1
46,90046,1,2025-04-13 14:10:08,1
47,90047,1,2025-04-13 14:10:08,1
48,90048,1,2025-04-13 14:10:08,1
49,90049,1,2025-04-13 14:10:08,1
50,90050,0,2025-04-13 14:10:08,1
51,90051,0,2025-04-13 14:10:08,1
52,90052,0,2025-04-13 14:10:08,1
53,90053,0,2025-04-13 14:10:08,1
54,90054,0,2025-04-13 14:10:08,1
55,90055,0,2025-04-13 14:10:08,1
56,90056,1,2025-04-13 14:10:08,1
57,90057,1,2025-04-13 14:10:08,1
58,90058,1,2025-04-13 14:10:08,1
59,90059,1,2025-04-13 14:10:08,1
60,90060,0,2025-04-13 14:10:08,1
61,90061,1,2025-04-13 14:10:08,1
62,90062,1,2025-04-13 14:10:08,1
63,90063,1,2025-04-13 14:10:08,1
64,90064,1,2025-04-13 14:10:08,1
65,90065,1,2025-04-13 14:10:08,1
66,90066,1,2025-04-13 14:10:08,1
67,90067,1,2025-04-13 14:10:08,1
68,90068,1,2025-04-13 14:10:08,1
69,90069,1,2025-04-13 14:10:08,1
70,90070,0,2025-04-13 14:10:08,1
71,90071,1,2025-04-13 14:10:08,1
72,90072,0,2025-04-13 14:10:08,1
73,90073,1,2025-04-13 14:10:08,1
74,90074,0,2025-04-13 14:10:08,1
75,90075,0,2025-04-13 14:10:08,1
76,90076,0,2025-04-13 14:10:08,1
